序号,论文题名（取自佐证材料名）,中心内提交人
176,一株与福氏志贺菌6型存在血清交叉凝集的阴沟肠杆菌鉴定-帅小博,韩颖颖
177,一起混合性气单胞菌引起食源性疾病暴发的病原学检测,韩颖颖
178,论文：南通市免疫规划人员工作满意度及影响因素调查,顾婷
179,论文：南通市新型冠状病毒疫苗分配及管理思考,顾婷
180,论文：南通市预防接种沟通和服务能力培训的满意度调查与效果评价,顾婷
181,2023080047-南通市崇川区一例新发麻风的流行病学调查与处置,马云
182,2024-02-19-Frontiers_in_Immunology-Leprosy： treat,马云
183,南通市崇川区基层义务人员麻风知信行调查分析,马云
184,（普刊2~5作）南通市60岁以上老年人新冠...监测及感染相关影响因素分析_戴垚垚,鲍超
185,（普刊2~5作）南通市社区人群新型冠状病毒感染血清学监测结果分析_陆荣荣,鲍超
186,（科技核心3作）2010—2022年南通市...Joinpoint回归分析_苗峻峰 (1),鲍超
187,1990—2019年江苏省...素的慢性肾脏病疾病负担分析_黄捷,黄捷
188,中国预防医学杂志,黄捷
189,江苏南通：启动医防融合慢病防治项目,黄昕
190,（2023扬子晚报）结核,黄昕
191,（2024学习强国）结核,黄昕
192,党建引领医防融合走深走实,黄昕
193,（完整清晰版）新时代青年党员教育培养问题及对策研究_00,黄昕
194,2020-2021年南通市食源性致病菌污染状况监测分析——临床医学研究,黄爱龙
195,2023年南通市非O1_O...乱弧菌分子特征和耐药性分析_严炳清,黄爱龙
196,一起由肠炎沙门菌引起食物中毒事件的病原学检验分析_靳秀秀,黄爱龙
197,自感染性腹泻样品中分离的副溶血性弧菌菌株特征分析_王彧超,黄爱龙
198,黄爱龙已发表SCI,黄爱龙
199,戴垚垚的审核资料 (2),戴垚垚
200,HJURP modulates cell proliferation a Source Front Mol Biosci SO 2025,未识别（文件名无中文姓名）
201,郭新颖的审核资料 (1),郭新颖
202,高海萍的审核资料 (1),高海萍
